entity_id,source_anchor_ccre,haplotype_id,state_class,ref_chr,ref_start,ref_end,alt_contig,alt_start,alt_end,context_group,provenance,evidence_summary,ranking_score,qc_flag
EH38E000001|HG002_h1,EH38E000001,HG002_h1,conserved,chr20,100500,100750,chr20,100500.0,100750.0,immune_hematopoietic,"{""scorer_source"": ""scorer_output"", ""state_source"": ""ccre_state"", ""validation_source"": ""validation_link""}","{""assay_types"": [""CRISPRi""], ""hit_count"": 1, ""study_ids"": [""STUDY_ALPHA""], ""total_labels"": 1}",0.017935115233333333,ok
EH38E000001|HG002_h2,EH38E000001,HG002_h2,conserved,chr20,100500,100750,chr20,100500.0,100750.0,immune_hematopoietic,"{""scorer_source"": ""scorer_output"", ""state_source"": ""ccre_state"", ""validation_source"": ""validation_link""}","{""assay_types"": [""CRISPRi""], ""hit_count"": 0, ""study_ids"": [""STUDY_ALPHA""], ""total_labels"": 1}",-0.029799648499999998,ok
EH38E000001|NA12878_h1,EH38E000001,NA12878_h1,diverged,chr20,100500,100750,chr20,100505.0,100755.0,immune_hematopoietic,"{""scorer_source"": ""scorer_output"", ""state_source"": ""ccre_state"", ""validation_source"": ""validation_link""}","{""assay_types"": [""CRISPRi""], ""hit_count"": 1, ""study_ids"": [""STUDY_ALPHA""], ""total_labels"": 1}",0.31233027026666665,ok
EH38E000002|HG002_h1,EH38E000002,HG002_h1,conserved,chr20,101000,101250,chr20,101000.0,101250.0,immune_hematopoietic,"{""scorer_source"": ""scorer_output"", ""state_source"": ""ccre_state"", ""validation_source"": ""validation_link""}","{""assay_types"": [""MPRA""], ""hit_count"": 1, ""study_ids"": [""STUDY_ALPHA""], ""total_labels"": 1}",0.01587109013333333,ok
EH38E000002|HG002_h2,EH38E000002,HG002_h2,diverged,chr20,101000,101250,chr20,101005.0,101255.0,immune_hematopoietic,"{""scorer_source"": ""scorer_output"", ""state_source"": ""ccre_state"", ""validation_source"": ""validation_link""}","{""assay_types"": [""MPRA""], ""hit_count"": 0, ""study_ids"": [""STUDY_ALPHA""], ""total_labels"": 1}",0.3354911351,ok
EH38E000002|NA12878_h1,EH38E000002,NA12878_h1,fractured,chr20,101000,101250,chr20,101000.0,101125.0,immune_hematopoietic,"{""scorer_source"": ""scorer_output"", ""state_source"": ""ccre_state"", ""validation_source"": ""validation_link""}","{""assay_types"": [""MPRA""], ""hit_count"": 1, ""study_ids"": [""STUDY_ALPHA""], ""total_labels"": 1}",0.7734983197666666,ok
EH38E000003|HG002_h1,EH38E000003,HG002_h1,diverged,chr20,101500,101750,chr20,101505.0,101755.0,immune_hematopoietic,"{""scorer_source"": ""scorer_output"", ""state_source"": ""ccre_state"", ""validation_source"": ""validation_link""}","{""assay_types"": [""CRISPRi""], ""hit_count"": 0, ""study_ids"": [""STUDY_ALPHA""], ""total_labels"": 1}",0.3098403841333333,ok
EH38E000003|HG002_h2,EH38E000003,HG002_h2,fractured,chr20,101500,101750,chr20,101500.0,101625.0,immune_hematopoietic,"{""scorer_source"": ""scorer_output"", ""state_source"": ""ccre_state"", ""validation_source"": ""validation_link""}","{""assay_types"": [""CRISPRi""], ""hit_count"": 0, ""study_ids"": [""STUDY_ALPHA""], ""total_labels"": 1}",0.7234073580000001,ok
EH38E000003|NA12878_h1,EH38E000003,NA12878_h1,absent,chr20,101500,101750,,,,immune_hematopoietic,"{""scorer_source"": ""scorer_output"", ""state_source"": ""ccre_state"", ""validation_source"": ""validation_link""}","{""assay_types"": [""CRISPRi""], ""hit_count"": 0, ""study_ids"": [""STUDY_ALPHA""], ""total_labels"": 1}",2.105684461033333,needs_review
EH38E000004|HG002_h1,EH38E000004,HG002_h1,fractured,chr20,102000,102250,chr20,102000.0,102125.0,immune_hematopoietic,"{""scorer_source"": ""scorer_output"", ""state_source"": ""ccre_state"", ""validation_source"": ""validation_link""}","{""assay_types"": [""MPRA""], ""hit_count"": 0, ""study_ids"": [""STUDY_ALPHA""], ""total_labels"": 1}",0.7846429334666668,ok
